LCBO_id,Price,Name,Description,Size,Alcohol,Madein_city,Madein_country,Brand,Sugar,Sweetness,Style1,Style2,Variety,Pic_src,Featured_wines,Recomm_foods
V315531,54.95,La Rioja Alta Viña Ardanza Reserva 2008,"Vintages for Viña Ardanza seem to be going fast. It seems like yesterday that the 2001 was released and now the 2008 Viña Ardanza is already here. This is the first vintage when they have been able to use the fruit from their new Garnacha vineyards in the village of Tudelilla (Rioja Baja), La Pedriza, which represents 20% of the blend complementing the majority of Tempranillo. The wine was put in barrel in March 2009, separately; the Tempranillo was in four-year-old barrels for 36 months with six rackings, and the Garnacha in second and third use barrels for 30 months with five rackings. Vintages might go fast, but the wine does not feel too young, which was my fear. There are notes of stewed meat, cured leather, cloves, other spices and an overall balsamic character. The palate feels solid, consistent, nicely built, with abundant tannins and good balancing acidity. This should stand up to food and be able to develop in bottle. Drink Date: 2017-2023. Score - 93. (Luis Gutiérrez, robertparker.com, Aug. 30, 2016)",750,13.6,Rioja,Spain,La Rioja Alta. S.A.,2.0,XD - Extra Dry,Smooth,Full-bodied,Tempranillo Blend,https://www.lcbo.com/content/dam/lcbo/products/315531.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V933101,22.95,La Rosa Tinto 2016,"This is a ripe wine full of broad black fruits. Smoothed by the wood aging and with plenty of acidity to balance, it is rich and structured. The tannins in this wine from the de la Rosa estate are already enmeshed in the fruit. This wine could be drunk now for its fruit, although it will be better from 2019. Cellar Selection.  Score - 91. (Roger Voss, Wine Enthusiast, April 1, 2018)",750,14.0,Douro,Portugal,Quinta De La Rosa,3.0,XD - Extra Dry,Smooth,Full-bodied,Touriga Nacional Blend,https://www.lcbo.com/content/dam/lcbo/products/933101.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V570036,219.0,La Sangre de Jonata 2014,"Unquestionably the star of the show is the 2014 La Sangre de Jonata, and it's a more finesse driven, elegant, cool climate example of the cuvee than normal. Reminding me of an Hermitage from Bessards, it offers gorgeous notes of blackberries, cassis, leather, scorched earth and pepper. Possessing full-bodied richness, firm, polished tannin and a focused finish, it will be more approachable than most vintages of this cuvee, yet I still wouldn't touch bottles for 3-5 years. If you must drink a bottle over the coming couple of years, give it a 2-hour decant.  Score - 99. (Jeb Dunnuck, jebdunnuck.com, Aug. 2, 2017)",750,14.8,California,USA,Jonata,,XD - Extra Dry,Smooth,Full-bodied,Shiraz/Syrah,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
L459791,30.8,La Sarabande Les Rabasses Faugeres 2014,"90 by Jeb Dunnuck in RP ...' A deeper, inkier colored effort, the 2014 Faugères Les Rabasses is a blend of Grenache, Syrah and Mourvèdre that spent 12 months in barrel followed by six months in tank. It offers a deep, rich bouquet of cassis, blackcurrants, blueberries, graphite and crushed rocks. Rich, fruit forward, concentrated and beautifully textured, it's an Old-World fruit bomb to drink over the coming 3-5 years.",750,14.0,Languedoc,France,Domaine La Sarabande,,,,,Grenache/Syrah/Mourvèdre,https://www.lcbo.com/content/dam/lcbo/products/459791.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V900183,90.0,La Serre 2014,"Extremely perfumed with flower and crushed-berry character. Hints of chocolate. Medium to full body, firm and silky tannins and savory acidity. Juicy and fresh. Almost Burgundian in texture. So approachable but better in 2021. Score - 92. (James Suckling, jamessuckling.com, Feb. 13, 2017)",750,14.0,Bordeaux,France,Jean-Pierre Moueix,4.0,XD - Extra Dry,Firm,Full-bodied,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V577882,58.0,La Spinona Bergera Barolo 2012,"Dedicated to the current owner's late grandfather who founded the estate, this elegant red opens with alluring aromas of blue flower, dark spice, herbs and new leather. The savory palate doles out juicy Marasca cherry, raspberry compote, clove and licorice framed by polished tannins. It's already approachable, but will offer fantastic imbibing for another decade. Drink through 2027. Score - 95. (Kerin O'Keefe, Wine Enthusiast, Dec. 31, 2017)",750,14.0,Piedmont,Italy,Az. Ag. La Spinona,3.0,XD - Extra Dry,Firm,Full-bodied,Nebbiolo,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V134726,50.0,La Spinona Bricco Faset Barbaresco 2013,"La Spinona's 2013 Barbaresco Bricco Fasét is a powerful, austere wine endowed with considerable depth and intensity in every sense. Hints of smoke, wild herbs, menthol, dried rose petal, leather, licorice and camphor convey an impression of wildness. There is no shortage of intrigue in this complex, rather virile Barbaresco from La Spinona. Drinking window: 2017-2027. Score - 92. (Antonio Galloni, vinous.com, Oct. 2017)",750,13.5,Piedmont,Italy,Az. Ag. La Spinona,2.0,XD - Extra Dry,Firm,Full-bodied,Barbaresco,https://www.lcbo.com/content/dam/lcbo/products/134726.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V577874,68.95,La Spinona Sorì Gepin Barolo 2011,"Alluring aromas of fragrant blue flower, woodland berry, forest floor and pipe tobacco slowly take shape in this compelling wine. Gorgeous and full-bodied, the palate delivers ripe morello cherry while licorice, cinnamon and crushed herb add depth. Polished tannins provide the elegant framework. Drink through 2026. Editors' Choice. Score - 94. (Kerin O'Keefe, Wine Enthusiast, Dec. 31, 2017)",750,14.0,Piedmont,Italy,Az. Ag. La Spinona,4.0,XD - Extra Dry,Fruity,Medium-bodied,Nebbiolo,https://www.lcbo.com/content/dam/lcbo/products/577874.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V480665,17.95,La Torre Guinzano San Gimignano Rosso 2015,"This is an attractive deep-ruby hued blend of 70% sangiovese/15% cabernet sauvignon/15% merlot. Smoky at first, it then shows beautiful aromas of ripe dark cherry, violet, balsamic reduction and a hint of caraway seed. It fills the palate with an ample, mellow stream of dry cherry and blackberry flavour with a layer of savoury herb and saline note emerging on the medium-long, delicious finish. Fully integrated alcohol and fine, acceptable tannin give this very approachable medium-full bodied red character to be sipped on its own or pair with slowly simmered osso buco. Enjoy now to 2022. Score - 92. (Louise Boutin, winecurrent.com, Feb. 27, 2019)",750,14.0,Tuscany,Italy,Fattoria La Torre Di E. Angiolini,5.0,XD - Extra Dry,Firm,Full-bodied,Sangiovese/Cabernet Sauvignon,https://www.lcbo.com/content/dam/lcbo/products/480665.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V490011,17.95,La Tremenda Monastrell 2016,"... from their estate El Chaconero in the village of Villena, a plot at 600 meters altitude planted some 25 years ago. It fermented in stainless steel and matured in French barriques for six months. 2016 is a cooler year than 2014 or 2015, and the wines reflect it. It was not an easy year; they had to do a strict selection of grapes, and it paid off. It has the character of the variety, with its elegant rusticity with a fresh, herbal twist and a palate with fine-grained tannins, nicely textured and with a supple, very tasty finish. This is a superb introduction to Monastrell from Alicante at an incredible price. Drink Date: 2018-2021.  Score - 92. (Luis Gutiérrez, robertparker.com, Dec. 29, 2017)",750,14.5,Alicante,Spain,Bodegas Enrique Mendoza,5.0,XD - Extra Dry,Smooth,Full-bodied,Monastrell (Mourvèdre),https://www.lcbo.com/content/dam/lcbo/products/490011.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
L454800,24.75,La Tunella Merlot 2015,"Dry, intense bouquet with notes of plum jam, tobacco, hay and coffee. The palate is dry, medium-full-bodied and well balanced with ripe fruit flavours of wild berries, blackberry, cedar and plum.  The finish is long and toasty.",750,13.5,Friuli,Italy,Azienda Agricola La Tunella,,,,,Merlot,https://www.lcbo.com/content/dam/lcbo/products/454800.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
L873364,15.85,La Tunella Refosco 2017,"Medium intensity nose with stewed strawberries, leather and wild mushroom. The palate has firm tannins, fairly high acidity with intense fruit and leathery flavours that would benefit from several years aging to help integrate. The finish is impressively long.",375,13.5,,Italy,Azienda Agricola La Tunella,,,,,Refosco dal Peduncolo Rosso,https://www.lcbo.com/content/dam/lcbo/products/873364.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
L454750,25.55,La Tunella Refosco Dal Peduncolo Rosso 2015,"Medium intensity nose with stewed strawberries, leather and wild mushroom. The palate has firm tannins, fairly high acidity with intense fruit and leathery flavours that would benefit from several years aging to help integrate. The finish is impressively long.",750,13.5,Friuli,Italy,Azienda Agricola La Tunella,,,,,Refosco dal Peduncolo Rosso,https://www.lcbo.com/content/dam/lcbo/products/454750.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
L447896,21.95,La Vieille Ferme Cotes du Ventoux,Medium violet/ruby colour; red cherry aromas with blackberry and floral notes; dry with perfumed raspberry character and a touch spice; medium finish with light tannins.,1500,13.0,,France,Perrin & Fils,5.0,XD - Extra Dry,Fruity,Light-bodied,Rhône,https://www.lcbo.com/content/dam/lcbo/products/447896.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,"['Spatchcocked Chicken', 'Pan-Roasted Tarragon Chicken with Seasonal Vegetables', 'Avocado with Falafel & Tahini Sauce']"
L263640,12.45,La Vieille Ferme Cotes Du Ventoux AOC,Medium violet/ruby colour; red cherry aromas with blackberry and floral notes; dry with perfumed raspberry character and a touch spice; medium finish with light tannins.,750,13.0,Rhône,France,Perrin & Fils,5.0,XD - Extra Dry,Fruity,Light-bodied,Grenache,https://www.lcbo.com/content/dam/lcbo/products/263640.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,"['Cassoulet', 'Grilled Potatoes with Horseradish Aïoli', 'Winter Tomato, Chèvre & Hazelnut Tart']"
V577213,15.25,La Vinicola del Titerno Piedirosso 2012,"Plenty of high-toned red fruit here, with black plum, licorice, wood, coffee and a flinty minerality in support. The tannins are light and fine, providing just the right amount of guidance and structure. Good depth of flavour and excellent length. Great for a charcuterie platter or cheese plate. (Vintages panel, Nov. 2017)",750,12.3,Campania,Italy,La Vinicola Del Titerno Srl,2.0,XD - Extra Dry,Fruity,Medium-bodied,Piedirosso,https://www.lcbo.com/content/dam/lcbo/products/577213.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V625897,96.0,La Vite Lucente 2013,"A silky and soft-textured red with lots of fruit and tannins. Full-bodied, fresh and bright. Needs a year or two to soften. Excellent. Second wine of Luce. Score - 92. (James Suckling, jamessuckling.com, August 5, 2015)",1500,14.0,Tuscany,Italy,Luce della Vite,,XD - Extra Dry,Firm,Full-bodied,Sangiovese/Merlot,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V747030,34.95,La Vite Lucente 2016,"Ripeness and intensity here with dark berries, dark chocolate, walnuts and sage on the nose, following through to a full body, round and chewy tannins and a ripe-fruit finish. Better in 2020. Score - 92. (James Suckling, jamessuckling.com, Sept. 11, 2018)",750,13.5,Tuscany,Italy,Marchesi De Frescobaldi,6.0,XD - Extra Dry,Firm,Full-bodied,Merlot/Sangiovese,https://www.lcbo.com/content/dam/lcbo/products/747030.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V971440,200.0,La Vite Lucente 2016,,3000,13.0,Tuscany,Italy,Luce della Vite,,XD - Extra Dry,Fruity,Medium-bodied,Sangiovese/Merlot,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V979062,90.0,La Vite Lucente 2016,,1500,13.5,Tuscany,Italy,Luce della Vite,3.0,XD - Extra Dry,Fruity,Medium-bodied,Sangiovese/Merlot,https://www.lcbo.com/content/dam/lcbo/products/979062.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
L534586,9.75,Lab Red Lisboa VR,"From the region near Portugal's capital of Lisbon, LAB Red shows well, offering generous red and black fruit with fine-textured tannins. Spicy notes on the finish are contributed by four months ageing in oak. A stylish blend of syrah, cabernet and touriga nacional grape varieties.",750,13.0,,Portugal,Casa Santos Lima,10.0,D - Dry,Smooth,Full-bodied,Red Blend,https://www.lcbo.com/content/dam/lcbo/products/534586.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,"['Argentinean Grass-Fed Rib Steak with Parsley Pesto', 'BBQ Brisket Sandwiches with Sun-Dried Tomato Sauce', 'Steak Crostini with Horseradish Cream']"
L630657,13.95,Labet CdRhone AOC,"Pale ruby red colour; strawberry, oregano and light bramble and spice aromas and flavours; dry, light-medium bodied, with soft structure; easy drinking.",750,13.0,Rhône,France,Francois Labet,2.0,XD - Extra Dry,Fruity,Medium-bodied,Rhône,https://www.lcbo.com/content/dam/lcbo/products/630657.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,"['Kofte with Creamy Sesame-Parsley Drizzle', 'Honey-Garlic-Rosemary Lamb Chops', 'Lollipop Roasted Lamb Chops']"
V243592,34.95,Ladies Who Shoot Their Lunch Wild Ferment Shiraz 2016,"It's often a lovely wine. This 2016 fits that description. It's pretty. Its floral. It's awash with sweet spice, black pepper and star anise in there but there's other stuff. Black cherry, redcurrant, slightly jellied, slightly smoky. A whisper of gum leaf, but it feels positive, it doesn't detract at all. An all-round succulence. A lip smacking drinkability. That's what it offers. Drink: 2018-2026. Score - 93. (Campbell Mattinson, winefront.com.au, March 29, 2018)",750,14.0,Victoria,Australia,Fowles Wine,2.0,XD - Extra Dry,Smooth,Full-bodied,Shiraz/Syrah,https://www.lcbo.com/content/dam/lcbo/products/243592.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
L622745,18.55,Ladron de Lunas Crianza 2015,"Maroon in colour this wine displays an intense nose of ripe plums, blackberries and spicy aromas on a bed of vegetation. On the palate ripe tannins, unctuous, with gliceric aftertaste and length.",750,13.5,Utiel-Requena,Spain,Bodegas Ladron De Lunas Sl,,,,,Bobal,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
L440338,14.8,Ladron De Lunas Roble 2015,"Intense aromas of strawberry, currant and plum, and a splash of vanilla come alive in this Spanish red from the Valencia region. A medium-bodied wine with good acidity and a balanced finish, it works well with pork or tomato-based pastas.",750,13.0,Valencia,Spain,Bodegas Ladron De Lunas Sl,,,,,Red - Medium Bodied,https://www.lcbo.com/content/dam/lcbo/products/440338.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V998666,37.95,Lafond SRH Pinot Noir 2015,"This is one of the more elegant and satisfyingly dark expressions of Pinot Noir in its price range, starting with aromas of sugarplum, hibiscus, dark berries, crushed slate and moist earth. The palate combines rose petals, baked boysenberry and dark cocoa with a strong streak of earthy minerality, all upheld by chalky tannins. Editors' Choice. Score - 93. (Matt Kettman, Wine Enthusiast, June 1, 2018)",750,14.5,California,USA,Santa Barbara Winery,4.0,XD - Extra Dry,Fruity,Medium-bodied,Pinot Noir,https://www.lcbo.com/content/dam/lcbo/products/998666.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V439729,14.95,Lagar de Robla Premium 2012,"This firm red is reserved, but shows depth and integration, with mulled plum, licorice, mineral and smoke flavors that mingle over well-integrated tannins, giving way to the juicy finish. Drink now through 2022. 35,000 cases made. Smart Buys. Score - 91. (Thomas Matthews, winespectator.com, Dec. 31, 2014)",750,14.0,Castilla y León,Spain,Viños de Arganza,4.0,XD - Extra Dry,Fruity,Medium-bodied,Mencia,https://www.lcbo.com/content/dam/lcbo/products/439729.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V633131,39.95,Lagrave-Martillac 2015,"Very attractive spicy oak sits across impeccably ripe dark plums and blackberries. The palate is suave and smooth with pure, precise dark cherries and blackberries. A long, regal finish. Try from 2023.  Score - 93. (James Suckling, jamessuckling.com, Feb. 2, 2018)",750,13.9,Bordeaux,France,Dourthe Freres,2.0,XD - Extra Dry,Smooth,Full-bodied,Cabernet Sauvignon/Merlot,https://www.lcbo.com/content/dam/lcbo/products/633131.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V575886,27.95,Lake Breeze Bernoota Shiraz/Cabernet Sauvignon 2015,"This is as layered and flavoursome as a black forest cake starting with exuberant mulberries, boysenberries and blackberries, next come woodsy spices, cinnamon and cloves then a final flourish of fresh cranberries and currants. Tannins ripe if firm on its full-bodied frame. Drink By: 2028. Special Value.  Score - 92. (Jane Faulkner, winecompanion.com.au, Aug. 1, 2017)",750,14.5,South Australia,Australia,Lake Breeze Wines,2.0,XD - Extra Dry,Firm,Full-bodied,Shiraz/Cabernet Sauvignon,https://www.lcbo.com/content/dam/lcbo/products/575886.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V380188,34.95,Lake Sonoma Winery Cabernet Sauvignon 2016,"Established in 1977, Lake Sonoma Winery has been repping the Sonoma region for decades. This latest Cab is rich and fruity with juicy blackberry, cassis, vanilla and chocolate, with solid tannins giving structure. This is drinking well now and should evolve favourably through 2024. Grilled beef tenderloin will make an ideal pairing.  (Vintages panel, Nov. 2018)",750,14.5,California,USA,West Coast Wine Partners Llc,5.0,XD - Extra Dry,Firm,Full-bodied,Cabernet Sauvignon,https://www.lcbo.com/content/dam/lcbo/products/380188.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V498766,28.95,Lake Sonoma Zinfandel 2016,"Dry Creek Valley is home to one of the densest concentrations of old-vine Zinfandel in the world, some of which provides the backbone of this wine. Notions of campfire smoke, vanilla wafers, ripe blackberry and blackcurrant jam introduce a ripe, robust Zin brimming with sweet fruit along with touches of smoke and spice. Savour through 2022 with smoky brisket or ribs. (Vintages panel, March 2019)",750,15.2,California,USA,West Coast Wine Partners Llc,7.0,D - Dry,Smooth,Full-bodied,Zinfandel,https://www.lcbo.com/content/dam/lcbo/products/498766.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V487884,107.0,Lake's Folly Cabernets 2014,"A 61/18/11/10% blend of cabernet sauvignon, shiraz, merlot and petit verdot. Good colour, although not especially deep; the bouquet is fragrant, speaking first about the complex fruit cepage, secondly about its place. Red and black fruits join in seamless union with new French oak and fine-grained tannins. A wine that can give pleasure now or in the far distant future. Drink By: 2039. Special Value.  Score - 97. (James Halliday, winecompanion.com.au, Oct. 6, 2016)",750,12.5,New South Wales,Australia,Inland Trading Co.,5.0,XD - Extra Dry,Smooth,Full-bodied,Cabernet Sauvignon/Shiraz/Merlot,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V12617,29.95,Lakeview Cabernet Sauvignon 2015,"Very deep intense red colour. Complex, spicy, sandalwood-cedar-tinged and ripe plum-cassis purée nose with some black cherry notes. Dry, medium to medium-full bodied, well structured, harmonious, slightly spicy, ripe, plummy-cherry-cassis purée flavours with a lingering, gently cedary finish. Has 13% alcohol and 6 g/L residual sugar. Try with a rib steak. A Best Buy. Score - 90. (Michael Vaughan, vintageassessments.com, Nov. 24, 2018)",750,12.5,Ontario,Canada,Diamond Estates Wines & Spirits Ltd,8.0,D - Dry,Fruity,Medium-bodied,Cabernet Sauvignon,https://www.lcbo.com/content/dam/lcbo/products/012617.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V472258,20.25,Lakeview Cellars Eddy's Blend 2014,"The Lakeview Cellars Eddy's Blend has been crafted to celebrate the 25th anniversary of Lakeview Cellars. Eddy GurinskaIt founded the winery in 1991. Now, 25 years later, Lakeview is one of Ontario's largest winemaking facilities. This red blend offers a wealth of ripe red and black fruit with an excellent cassis note. Complex and long with some tobacco notes on the finish, this will be a fine companion for braised lamb or beef. (Vintages panel, April 2016)",750,13.9,Ontario,Canada,Niagara Cellars Ltd.,4.0,XD - Extra Dry,Fruity,Medium-bodied,Red Blend,https://www.lcbo.com/content/dam/lcbo/products/472258.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V49999,20.25,Lakeview Cellars Syrah 2015,"***LATE ARRIVAL. PRODUCT NOT CURRENTLY AVAILABLE.***From a long-standing, well-respected name in Ontario winemaking, this Syrah is ripe and rich with blackberry and redcurrant fruit, plum, chocolate, spice and an underlying earthiness. Enjoy with lamb or barbecued ribs. (Vintages panel, Sept. 2018)",750,13.0,Ontario,Canada,Diamond Estates Wines & Spirits Ltd,3.0,XD - Extra Dry,Fruity,Medium-bodied,Shiraz/Syrah,https://www.lcbo.com/content/dam/lcbo/products/049999.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V555821,17.95,Lamadrid Single Vineyard Malbec 2014,"Hard-packed, concentrated black-fruit aromas are a signal of this rugged Malbec's character. It's blasting with toasty blackberry and pepper flavors, which are backed by spice, heat and a general sense of full but proper ripeness and high quality. Drink through 2019. Rated #71 in Wine Enthusiast's Top 100 Best Buys of 2016. Score - 90. (Michael Schachner, Wine Enthusiast, Dec. 1, 2015)",750,14.0,Mendoza,Argentina,Fincas De Agrelo Sa,4.0,XD - Extra Dry,Fruity,Medium-bodied,Malbec,https://www.lcbo.com/content/dam/lcbo/products/555821.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V716043,63.0,Lamborghini Campoleone 2013,"Made with equal parts Merlot and Sangiovese, the 2013 Campoleone comes across as soft, luscious and delicious. Compared to past editions of this benchmark wine from Umbria, this expression feels slightly more streamlined and tightly knit. That emphasis on elegance is a sign of the times, for sure, even for a wine like this that once embodied the extra concentration and exuberance of Italian wines made in the 1990s and the first decade of the new millennium. Drink Date: 2018-2026.  Score - 93. (Monica Larner, robertparker.com, Dec. 29, 2017)",750,13.0,Umbria,Italy,Tenuta Patrizia Lamborghini Srl,4.0,XD - Extra Dry,,,Sangiovese Blend,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V280651,29.95,Lamole di Lamole Riserva Chianti Classico 2014,"Light aromas of strawberries, dark chocolate and cinnamon. Medium to full body, juicy tannins and a lively finish. Drink now. Score - 90. (James Suckling, jamessuckling.com, Sept. 11, 2018)",750,14.0,Tuscany,Italy,S. Margherita S.P.A.,2.0,XD - Extra Dry,Smooth,Full-bodied,Sangiovese/Canaiolo,https://www.lcbo.com/content/dam/lcbo/products/280651.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V730804,34.95,Lamole Gran Selezione Chianti Classico 2012,"Extremely aromatic with rose petal and cherry character. Full body, very silky and savory. Lots of orange peel and currant character. Flavorful and lively. Drink now. Score - 92. (James Suckling, jamessuckling.com, Aug. 21, 2016)",750,13.5,Tuscany,Italy,Castelli Del Grevepesa,5.0,XD - Extra Dry,Smooth,Full-bodied,Sangiovese Blend,https://www.lcbo.com/content/dam/lcbo/products/730804.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V166538,16.95,LAN Crianza,"Spending a year or more in oak before mellowing at least 12 more months in bottle prior to release, this Spanish beauty made from 100% Tempranillo delivers spicy red berry fruit. A tremendous value, it will delight with smoked meats or ribs.",750,13.5,Rioja,Spain,"Bodegas Lan, S.A.",4.0,XD - Extra Dry,Fruity,Medium-bodied,Tempranillo,https://www.lcbo.com/content/dam/lcbo/products/166538.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,"['Mushroom and Tomato Flatbread Topped with Fresh Arugula', 'Greek Lamb Kebabs', 'Lamb Meatballs with Roasted Peppers & Olives']"
V11174,34.95,LAN Gran Reserva,,750,13.5,,Spain,"Bodegas Lan, S.A.",2.0,,,,Tempranillo,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
