LCBO_id,Price,Name,Description,Size,Alcohol,Madein_city,Madein_country,Brand,Sugar,Sweetness,Style1,Style2,Variety,Featured_wines,Recomm_foods
V59311,24.95,7 Deadly Zins Old Vine Zinfandel,"Zinfully delicious Cali Zinfandel that features all you're looking for in the state's classic variety. The aromas suggest hickory smoke, black cherry, vanilla and spice cupboard. A rich, fruity wine perfect for steaks or meat-based pasta dishes.",750,14.5,California,USA,The Wine Group,6.0,D - Dry,Smooth,Full-bodied,Zinfandel,,"['Fillet of Beef', 'Grilled Beets & Peppercorn-Beef Roast with Gorgonzola Sauce', 'Sloppy Rendang Joes']"
L390426,25.85,992 Finca Rio Negro 2015,"Crafted at a family-run winery in the foothills of Guadalajara, this Tempranillo blend is bright, clean and brimming with aromas of red berries and violet, and notes of oak. A food-friendly, medium-bodied red, it's equally good with chicken, lamb and steak.",750,14.0,,Spain,Meraven S.L,,,,,Tempranillo Blend,,
L665430,14.95,A De Luze & Fils Chateau Bel Air Bordeaux AOC,"Light-medium ruby colour; medium intensity blackberry, cherry, oak spice and tobacco aromas; full bodied, flavours of red cherry, plum, tobacco and oak spice with a medium length finish.",750,13.5,Bordeaux,France,A. Deluze Et Fils,5.0,XD - Extra Dry,Smooth,Full-bodied,Cabernet Sauvignon,,"['BBQ Brisket Sandwiches with Sun-Dried Tomato Sauce', 'Brisket from Barque Smokehouse', 'Joel’s Favourite Ribs']"
V645457,19.95,A Rena d'Oru di Casanova 2016,"(Translated from the French) Deep garnet in colour. The expressive nose offers up notes of red fruit, sour cherry, aromatic herbs and fine spices with some oak in the background. Airy, with a fresh attack, a medium range and an immediate fruit expression. This fresh, fruity and straightforward wine is an ideal match for charcuterie. Score - Gold. (Guide Gilbert & Gaillard, 2019)",750,12.4,Corsica,France,Cave Cooperative D'Aghione,4.0,XD - Extra Dry,Fruity,Medium-bodied,Niellucciu,,
V229781,24.95,A to Z Wineworks Pinot Noir,"Founded in 2002, A to Z Wineworks has twice seen their wines named to Wine Spectator's Top 100 wines of the year. Always impressive, earthy and characterful, this is a Pinot that brings the savoury and the smoky to its red berry fruit. A wine for duck.",750,13.5,Oregon,USA,A To Z Winework L.L.C,4.0,XD - Extra Dry,Fruity,Medium-bodied,Pinot Noir,,
L485499,47.15,A Trincadeira Nao e Tao Fita Preta 2015,"This approachable Alentejo varietal (the same grape known in the Douro as Tinta Amarela) has earthy and spicy notes, and a fresh, fruity palate. Try it with veal chops, tourtière or other savoury pies.",750,14.0,Alentejo,Portugal,"Fita Preta Vinhos, Lda",,,,,Trincadeira Blend,,
V629147,35.95,Abacela Fiesta Tempranillo 2015,"Fiesta is the entry-level cuvée among four different Abacela Tempranillos. To say this wine overdelivers is to understate its impact. The estate-grown fruit sends up gamy scents that conjure dreams of blood sausage and lead down a deep, dark entryway into a core of blue plum, black cherry and cassis fruits. Some barrel time adds licorice and clove, with tannic muscle invigorating the finish. Ranks #61 on Wine Enthusiast's Top 100 Wines of 2018. Score - 92. (Paul Gregutt, Wine Enthusiast, Dec. 1, 2018)",750,14.7,Oregon,USA,"Abacela Vineyards + Winery, Inc",4.0,D - Dry,Fruity,Medium-bodied,Tempranillo,,
V672337,50.95,Abbadia Ardenga Brunello di Montalcino 2013,"A pretty and fresh red with blackberry, blueberry and orange peel character. Medium to full body, firm and silky tannins and a crisp finish. A lovely, bright 2013. Drink or hold. Score - 94. (James Suckling, jamessuckling.com, Nov. 27, 2017)",750,13.0,Tuscany,Italy,Abbadia Ardenga,4.0,XD - Extra Dry,Fruity,Medium-bodied,Sangiovese Blend,,
V537944,15.75,Abbotts & Delaunay Corbières 2015,"The grapes for this are sourced from three sites across Corbières, taking full advantage of the region's diverse terroir to create this elegant, aromatic, complex wine. Richly structured with a great depth of blue and black fruit, spice and a lifted mint tone. Plush and long with an oaky close. A nice option for barbecued meats and superb with rabbit stew. (Vintages panel, June 2017)",750,13.9,Languedoc,France,"Badet, Clement & Cie",5.0,XD - Extra Dry,Smooth,Full-bodied,Shiraz/Grenache/Mourvèdre,,
V609156,48.95,Aberrant Cellars Gran Moraine Vineyard Pinot Noir 2014,"This splendid, resonant, beautifully detailed wine captures everything that is most desirable in the 2014 vintage. Blackberry and black cherry fruit, adorned with a sprinkling of Sumatra coffee beans, rocks on with polished tannins. The pleasing roasted character is just right to power it through a clean, sexy finish. Drink now and on through 2026. Cellar Selection.  Score - 95. (Paul Gregutt, Wine Enthusiast, April 1, 2017)",750,13.7,Oregon,USA,"Aberrant Cellars, Llc",3.0,XD - Extra Dry,Fruity,Medium-bodied,Pinot Noir,,
V648378,32.95,Abremundos Octava Bassa Malbec 2014,"Aromas of blackberries, burnt orange peel and hints of chocolate. Full body, chewy tannins and a savory finish. There is a bigger, warmer profile to this. Drink now. Score - 94. (James Suckling, jamessuckling.com, June 21, 2017)",750,15.0,Mendoza,Argentina,Go Wine Llc,4.0,XD - Extra Dry,Firm,Full-bodied,Malbec,,
L869347,128.0,Acaibo 2013,"Lots of blackcurrant, violet, and perfumed on the nose. Full to medium body, polished, ripe tannins and a long and flavourful finish. Extremely fine tannins. Needs two or three years to soften. A blend of mostly cabernet sauvignon and merlot. Some cabernet franc.",750,13.9,California,USA,Gonzague + Claire Lurton Vineyards,,,,,Merlot/Cabernet Sauvignon,,
V698001,580.0,Accendo Cellars Cabernet Sauvignon 2015,"Produced from 92% Cabernet Sauvignon, 4% Cabernet Franc and 4% Petit Verdot, the 2015 Cabernet Sauvignon offers up profound wild blueberries, freshly crushed blackberries and chocolate-covered cherries scents with suggestions of Chinese five spice, Sichuan pepper, bay leaves and lavender plus a savory touch of yeast extract. Medium to full-bodied, it fills the mouth with expressive, multilayered blue and black fruits, all supported by ripe, fine-grained tannins and a lively backbone, finishing long with a compelling earthiness coming through. Drink Date: 2018-2040. Score - 97+. (Lisa Perrotti-Brown, MW, robertparker.com, Dec. 29, 2017)",750,14.8,California,USA,Accendo Cellars,,XD - Extra Dry,,,Cabernet Sauvignon,,
V178103,105.0,Achaval Ferrer Finca Bella Vista Malbec 2014,"Blocks 4 and 5 are located next to the winery and are both over 110 years old. This delicious Malbec sees 100% new oak (in 165 litre barrels) and is a savoury, spicy, beautifully judged triumph. Plush, broad, yet still restrained, it has a lovely core of black fruit sweetness and velvety tannins. Drink: 2018-25. Score - 96. (Tim Atkin, MW, timatkin.com, Argentina Special Report 2017)",750,13.5,Mendoza,Argentina,Achaval Ferrer S.A.,3.0,XD - Extra Dry,Smooth,Full-bodied,Malbec,,
V24752,50.0,Achaval Ferrer Quimera 2014,"Containing the highest percentage yet of Cabernet Franc (24%), this Malbec-based blend also contains Merlot and Cabernet Sauvignon, but no Petit Verdot for the second vintage in a row. Spicy, scented and complex, with grassy aromas, fine-grained tannins and deftly handled oak. Drink Date: 2017-2022. Score - 94. (Tim Atkin, MW, timatkin.com, Argentina Special Report 2018)",750,14.0,Mendoza,Argentina,Achaval Ferrer S.A.,3.0,XD - Extra Dry,Smooth,Full-bodied,Malbec Blend,,
V256008,135.0,Achával Ferrer Finca Mirador Malbec 2014,"This is really special for 2014 with dried mushrooms, flowers and dark-berry character on the nose. Full-bodied yet refined and dense. Very polished tannins and fruit depth. Fantastic finish of burnt oranges and ripe fruit yet everything's always fresh and vivid. Drink now or hold. Score - 95. (James Suckling, jamessuckling.com, June 21, 2017)",750,14.0,Mendoza,Argentina,Achaval Ferrer S.A.,3.0,D - Dry,,,Malbec,,
V24737,29.95,Achával Ferrer Malbec 2015,"Deliberately made as a cuvée of Malbecs from different terroirs - Perdriel, Medrano and the Uco Valley - this is a wonderfully perfumed red from the Achaval team. Floral, spicy and polished, with a core of sweet plum and blueberry fruit and just the right amount of oak. Drink Date: 2017-22. Score - 93. (Tim Atkin, MW, timatkin.com, Argentina Special Report 2017)",750,14.0,Mendoza,Argentina,Achaval Ferrer S.A.,3.0,XD - Extra Dry,Smooth,Full-bodied,Malbec,,
V421149,28.95,Acrobat Pinot Noir 2015,"Aromatically complex with hints of dusty compost, peat moss and coffee grounds, this moves gracefully into a lively palate. Orange and lemon peel, black tea and juicy acids highlight a red berry core. This is a totally gulpable and thoroughly delicious young Pinot. Score - 90. (Paul Gregutt, Wine Enthusiast, Feb. 1, 2017)",750,13.5,Oregon,USA,Foley Family Wines Inc.,3.0,XD - Extra Dry,Fruity,Medium-bodied,Pinot Noir,,
V11244,28.95,Adamo Estate Parke Vineyard Grower's Series Pinot Noir 2016,"An ambitious 50 per cent whole cluster pinot noir as dusty rose perfumed as it comes from Bench fruit. Lithe in appearance but packing a punch and crying with real local tension. The palate is so very different than what the nose gives away, turning to fruit sweet and soulful. If at first it's quiet and openly oxygenated it then turns into a prime example of what can happen with high, whole clustered ambition. A Shauna White stunner, impressive to be sure in the purposed way of whole bunch fanatics everywhere, from Ontario to South Africa and also those making pinot noir at locational right angles in between, secretly wishing they were members of the club. Drink Date: 2020-2024. Score - 91. (Michael Godel, winealign.com, May 12, 2019)",750,13.0,Ontario,Canada,2674177 Ontario Inc D/B/A Adamo,2.0,XD - Extra Dry,Fruity,Medium-bodied,Pinot Noir,,
V10043,99.95,Addendum: Napa Valley Cabernet Sauvignon 2014,"The 2014 Napa Valley Cabernet Sauvignon reveals a medium to deep garnet-purple color and nose of dusty earth, cloves, cigar boxes and lavender over a core of red and black currants, black cherries and a waft of baker's chocolate. Full-bodied, concentrated and seductive, it delivers mouth-filling fruit with a solid frame and grainy tannins, finishing long and earthy. Drink Date: 2018-2030.  Score - 93. (Lisa Perrotti-Brown, MW, robertparker.com, Oct. 31, 2017)",750,17.2,California,USA,Fess Parker,6.0,XD - Extra Dry,Firm,Full-bodied,Cabernet Sauvignon,,
V646026,12.95,Adega de Redondo Colheita Speciale Porta da Ravessa 2017,"40% Trincadeira, 40% Aragonez, 20% Alicante Bouschet. Bright cassis and red fruit aromas with a hint of mint. The palate is fresh, with well-balanced tannins and excellent fruit concentration.   Score - 93. (Decanter World Wine Awards, 2018)",750,13.8,Alentejo,Portugal,Adega Cooperativa Redondo,4.0,XD - Extra Dry,Fruity,Medium-bodied,Red Blend,,
L831289,13.65,Adega do Monte Colheita 2016,"This wine shows dark berry and spice characteristics framed in earthy, floral nuances. Expansive on the palate with intense dark fruit and an impressively elegant structure. Tannins are fine and the finish is tireless. The ripe nature of the fruit make this wine approachable today but the structure and acidity suggest this wine will age for another 5+ years. Best enjoyed with slow-cooked braised meats and vegetables.",750,14.0,,Portugal,Soc. Ag. Joao T.M. Barbosa + F,,,,,Aragonez/Trincadeira/Castelão/ Alicante Bouschet,,
V646109,17.95,Adega do Monte Reserva 2015,"This is a dense, concentrated wine. Wood aged for 12 months, this blend of Castelão, Aragonez and Trincadeira is succulent, full bodied and solid with both tannins and ripe black fruits. The juicy aftertaste gives a final brightness to this ready-to-drink wine. Score - 88. (Roger Voss, Wine Enthusiast, Oct. 1, 2018)",750,13.7,Alentejo,Portugal,João T. Matos Barbosa,11.0,D - Dry,Firm,Full-bodied,Castelão Blend,,
L895531,11.6,Adega Moncao Red 2018,"Made from a blend of local northern Portuguese grapes, this wine is a regional specialty. Notes of dark berries with herbal hints, the palate is dry, full bodied and firm with high acidity which are all characteristic of this regional style.",750,11.0,,Portugal,Adega Coop. Regional De Moncao,,,,,Red Blend,,
V959312,98.0,Adelsheim Elizabeth's Reserve Pinot Noir 2013,"The 2013 Pinot Noir Elizabeth's Reserve underwent a four to six day skin maceration and was matured for ten months in 31% new French oak. It offers raspberry and pomegranate scents on the nose, before changing tack towards hints of iodine and even boot polish. The palate is lithe and fresh in the mouth - succulent tannin and bright red cherry and strawberry fruit to the fore. Harmonious with good length, this is one of the best releases from Adelsheim this year. Drink Date: 2016-2023. Score - 91. (Neal Martin, robertparker.com, April 27, 2016)",750,13.8,Oregon,USA,Adelsheim Vineyard,2.0,XD - Extra Dry,,,Pinot Noir,,
V683821,49.95,Adelsheim Pinot Noir 2016,"This is very intense with a linear line of tannins and acidity running through the center palate. Medium to full body and a dried-strawberry and apple character. Flavorful and energetic aftertaste. Drink now or hold. Score - 93. (James Suckling, jamessuckling.com, July 5, 2018)",750,13.5,Oregon,USA,Adelsheim Vineyard,3.0,XD - Extra Dry,Fruity,Medium-bodied,Pinot Noir,,
L322024,13.95,Adobe Reserva Merlot Organic,"Ruby coloured; moderate aromas of ripe blackberry, cedar and spice; dry and medium bodied; flavours of rich blackberry and a spicy, cedar finish.",750,13.5,San Antonio Valley,Chile,Vinedos Emiliana S.A.,4.0,XD - Extra Dry,Fruity,Medium-bodied,Merlot,,"['Spanish Roasted Lamb', 'Grilled Moroccan Lamb', 'Tandoori Rack of Lamb']"
V634147,222.0,Adobe Road Beckstoffer Georges III Vineyard Cabernet Sauvignon 2014,"Tames intense tannins with an overlay of creamy, mocha-scented oak. The core is deep, rich and concentrated, featuring dark berry, currant, plum and cassis flavors. Sails along on the finish, even with the tannins. Best from 2021 through 2034. Score - 94. (James Laube, winespectator.com, April 30, 2018)",750,14.8,California,USA,Adobe Road Winery,9.0,XD - Extra Dry,,,Cabernet Sauvignon,,
L308683,28.95,Aduentes Classic 2010,"Three grapes ? Malbec, Merlot and Cabernet Sauvignon ? combine to create a rich, lush wine spilling over with ripe berry aromas. White chocolate, white pepper and black olive on the palate offer plenty of mouth-filling satisfaction. Slow-cooked barbacoa beef makes an ideal pairing for this elegant wine.",750,14.5,Mendoza,Argentina,"Cork Alliance, Inc.",,,,,Red Blend,,
L308758,28.95,Aduentes Mediterraneo 2009,"A vibrant blend of Malbec, Syrah and Tempranillo, this appealing wine shows ripe plum and cherry character on the nose, along with flavours of tobacco and camphor. The cocoa and spice notes on the palate persist for a long, lingering finish. This is a great wine to serve with chicken saltimbocca or Szechuan dan dan noodles.",750,14.8,Mendoza,Argentina,"Cork Alliance, Inc.",,,,,Malbec/Tempranillo,,
V539544,42.0,Adão António Aguiar Reserva 2014,"100% Touriga Nacional. Polished wine, oozing quality. Smashing nose. Bold and open of baked blackberry pie with mint and eucalyptus. Developed palate with deep dried fruit, plum, lavender and pencil box with a long length.  Score - 95. (Decanter World Wine Awards, 2017)",750,14.5,Douro,Portugal,"Adao E Filhos, Lda",5.0,XD - Extra Dry,Fruity,Medium-bodied,Touriga Nacional,,
L649334,62.1,AF Gros Moulin A Vent 2017,"From a parcel of 3.8Ha in Moulin à Vent 'en Mortperay ». This is the 1st vintage of this new appellation for the Domaine. 100% Gamay made in the same style as all reds of the estate, gentle extraction for soft texture and incredible length.",750,12.5,,France,Sarl Francois Parent,,,,,Gamay,,
L427822,170.35,AF Gros Pommard 1er Pezerolles 2014,"Allen Meadows' barrel tasting note: An extremely pretty and well-layered nose offers up notes of liqueur of red berry fruit, earth and soft spice scents where the wood treatment is present but more subtle. The elegant, refined and relatively forward middle weight flavors display evident minerality that continues onto the dusty and mildly edgy finale. (87-90) [drink] 2020+",750,13.0,,France,Sarl Francois Parent,,,,,Pinot Noir,,
L427814,130.25,AF Gros Vosne Romanee Chalandins 2017,"Allen Meadows in the April 10, 2019 issue of Burghound (#74) rates this 88-91 and writes: A slightly more elegant and even spicier nose speaks of Asian-style tea, red currant and cherry along with notes of lilac and violet. The sleeker and more concentrated flavors possess excellent punch along with better depth on the youthfully austere finale where the innate class of Vosne is in evidence. Drink +2024",750,13.0,,France,Sarl Francois Parent,,,,,Pinot Noir,,
V632380,29.0,Agricola Punica Montessu 2015,"This is a dense and rich red with smoked wood, dried bark, tea and ripe fruit. Very flavoful. Full body. Intense. Velvety tannins. Drink in a year or two. Score - 93. (James Suckling, jamessuckling.com, Oct. 20, 2017)",750,14.0,Sardinia,Italy,Agricola Pucina S.P.A.,2.0,XD - Extra Dry,Fruity,Medium-bodied,Carignan Blend,,
V11104,39.95,Agriolas Senes Riserva Cannonau di Sardegna 2015,,750,14.0,Sardinia,Italy,Argiolas,4.0,XD - Extra Dry,Smooth,Full-bodied,Cannonau (Grenache),,
V617779,22.25,Airfield Estates Red 2015,"The site of a flight school during World War II, Airfield Estates Vineyard was first planted with grapes in 1968 and became one of Washington's original commercial vineyards in 1971. This classic Bordeaux blend of Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot and Malbec is juicy and accessible now, though it will easily continue to evolve for another 5+ years. It offers plenty of blackberry, purple fruit and savoury herbs, along with toast, mocha, vanilla and a precise graphite minerality. The tannins are grippy and call for steak.   (Vintages panel, April 2018)",750,14.5,Washington,USA,"Airport Ranch Estates, Llc",2.0,XD - Extra Dry,Firm,Full-bodied,Red Blend,,
